Address,City,State
"I-280, EXIT 2 & SR-795",Millbury,OH
"I-65, EXIT 112 & SR-25",Cross Plains,TN
SR-60,Bartow,FL
"I-76/I-70, EXIT 146 & I-99/US-220 EXIT 1",Bedford,PA
"I-77, EXIT 73 & SR-901",Rock Hill,SC
"I-24, EXIT 175",Chattanooga,TN
"I-24 & EPPS MILL RD, EXIT 89",Christiana                              ,TN
SR-135,Portsmouth,VA
"I-77 & I-81, EXIT 77",Wytheville,VA
SR-8 & SR-13,Prentice,WI
"I-30, EXIT 77B",Royse City,TX
"I-75, EXIT 36",Franklin,OH
"I-90/I-39, EXIT 171B & US-14",Janesville,WI
"I-80, EXIT 211",Rawlins,WY
"I-295 & NJ TRNPK,  EXIT 2B",Penns Grove,NJ
"I-5, EXIT 278",Aurora,OR
US-789,Riverton                                ,WY
"I-64, EXIT 50 & SR-127",Nashville,IL
"I-64, EXIT 50 & SR-127",Nashville,IL
"I-25/US-87, EXIT 235 & SR-52",Erie,CO
"I-77/SR-2, EXIT 170 & SR-14 E",Mineral Wells,WV
US-36 & SR-148,Hanover,KS
US-64/54 & SR-94,Hooker,OK
US-50 & US-287,Lamar,CO
"I- 80, EXIT 144; I-69, EXIT 357",Fremont                                 ,IN
"I- 80, EXIT 144; I-69, EXIT 357",Fremont                                 ,IN
I-84 & EXIT 208,Heyburn,ID
"I-91, EXIT 17 & SR-302",Wells River,VT
"I-15,  EXIT 31",Downey,ID
"I-24, EXIT 11",Clarksville,TN
"I-90, EXIT 40 & SR-34/SR-31",Weedsport,NY
"I-5/US-12, EXIT 72",Chehalis,WA
"I-10, EXIT 103",Tonopah,AZ
"I-8, EXIT 12",Yuma,AZ
"I-20, EXIT 171 & US-65",Tallulah,LA
I-49 BUS/SR-59,Neosho,MO
"I-25, EXIT 101 & US-50/SR-47",Pueblo,CO
"I-75, EXIT 341 & CR-484",Ocala                                   ,FL
"I-75, EXIT 341 & CR-484",Ocala                                   ,FL
US-84/SR-38,Bainbridge,GA
SR-157,Moulton                                 ,AL
"I-80, EXIT 21",Sparks,NV
I-77 EXIT 81,New Philadelphia,OH
US-12 & SR 128,Lewiston,ID
"I-80, EXIT 41",Lyman,WY
"I-29 & I- 94, EXIT 349",Fargo                                   ,ND
"I-40, EXIT 417 & SR-92",Dandridge,TN
"I-15, EXIT 80",Fort Hall                               ,ID
US-29,Rustburg,VA
"I-40, EXIT 158",Albuquerque,NM
"I-95, EXIT 104 & SR-207",Ruther Glen,VA
"I-95, EXIT 104 & SR-207",Ruther Glen,VA
US-190,Jasper                                  ,TX
